VisitYear,VisitMonth,Continent,RegionId,CountryId,CityId,AttractionId,AttractionType,Attraction_Popularity,Visit_Frequency,User_Experience,Season,VisitMode
2022,10,3,15,109,4341,640,8,1.6130337772788563,-0.48406557357156066,1,0,1
2022,10,1,8,48,464,640,8,1.6130337772788563,-0.48406557357156066,1,0,3
2022,10,1,8,51,774,640,8,1.6130337772788563,-0.48406557357156066,1,0,2
2022,10,1,8,48,583,640,8,1.6130337772788563,-0.19539000018213973,1,0,2
2022,10,1,8,51,1396,640,8,1.6130337772788563,0.09328557320728123,1,0,1
2022,10,1,8,51,1806,640,8,1.6130337772788563,-0.19539000018213973,1,0,3
2022,9,0,2,9,31,640,8,1.6130337772788563,-0.19539000018213973,1,0,1
2022,10,4,21,163,8258,640,8,1.6130337772788563,-0.48406557357156066,1,0,3
2022,9,0,4,22,114,640,8,1.6130337772788563,-0.48406557357156066,1,0,1
2022,9,0,3,14,50,640,8,1.6130337772788563,3.2687168804909117,0,0,1
2022,9,4,21,163,8809,640,8,1.6130337772788563,0.959312293375544,2,0,1
2022,9,3,15,109,5365,640,8,1.6130337772788563,-0.48406557357156066,1,0,1
2022,9,3,16,115,5506,640,8,1.6130337772788563,0.38196114659670216,2,0,3
2022,8,1,8,51,818,640,8,1.6130337772788563,0.38196114659670216,2,2,1
2022,9,3,15,109,4303,640,8,1.6130337772788563,-0.19539000018213973,1,0,1
2022,9,3,15,109,4398,640,8,1.6130337772788563,-0.19539000018213973,1,0,1
2022,9,4,21,163,8513,640,8,1.6130337772788563,-0.48406557357156066,1,0,3
2022,8,3,15,109,5264,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,7,3,15,109,3687,640,8,1.6130337772788563,-0.48406557357156066,1,2,2
2022,7,2,12,89,2617,640,8,1.6130337772788563,-0.19539000018213973,1,2,4
2022,8,4,21,163,8366,640,8,1.6130337772788563,-0.48406557357156066,1,2,2
2022,8,2,12,88,2607,640,8,1.6130337772788563,-0.19539000018213973,1,2,1
2022,8,0,4,22,191,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,6,1,8,51,693,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,7,1,8,48,535,640,8,1.6130337772788563,0.6706367199861232,2,2,1
2022,7,4,21,163,9057,640,8,1.6130337772788563,0.6706367199861232,2,2,1
2022,7,1,8,51,1434,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,7,2,14,101,3226,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,7,3,15,109,3915,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,7,2,13,93,2690,640,8,1.6130337772788563,-0.19539000018213973,1,2,1
2022,7,3,15,109,4883,640,8,1.6130337772788563,-0.48406557357156066,1,2,2
2022,7,4,17,135,6213,640,8,1.6130337772788563,-0.19539000018213973,1,2,3
2022,7,1,8,51,929,640,8,1.6130337772788563,-0.19539000018213973,1,2,3
2022,7,3,15,109,4272,640,8,1.6130337772788563,-0.48406557357156066,1,2,2
2022,6,1,8,51,1434,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2022,6,3,15,109,3915,640,8,1.6130337772788563,-0.48406557357156066,1,2,2
2022,6,2,13,93,2690,640,8,1.6130337772788563,0.09328557320728123,1,2,2
2022,6,0,3,14,52,640,8,1.6130337772788563,-0.48406557357156066,1,2,4
2022,6,2,12,89,2623,640,8,1.6130337772788563,-0.48406557357156066,1,2,3
2022,6,4,20,152,6955,640,8,1.6130337772788563,-0.19539000018213973,1,2,1
2022,5,2,13,93,2898,640,8,1.6130337772788563,0.09328557320728123,1,1,3
2022,5,4,21,163,8888,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2022,5,2,14,101,3098,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2022,4,1,8,48,402,640,8,1.6130337772788563,0.09328557320728123,1,1,2
2022,4,1,8,48,426,640,8,1.6130337772788563,-0.48406557357156066,1,1,2
2021,10,2,14,101,3098,640,8,1.6130337772788563,0.6706367199861232,2,0,1
2021,11,2,14,101,3098,640,8,1.6130337772788563,-0.48406557357156066,1,0,3
2021,7,4,21,163,8652,640,8,1.6130337772788563,-0.19539000018213973,1,2,3
2020,10,3,15,109,3915,640,8,1.6130337772788563,-0.48406557357156066,1,0,4
2021,5,2,14,101,3260,640,8,1.6130337772788563,-0.48406557357156066,1,1,4
2021,1,1,8,48,337,640,8,1.6130337772788563,-0.48406557357156066,1,3,1
2021,1,0,4,22,178,640,8,1.6130337772788563,2.4026901603226487,0,3,1
2020,12,2,14,101,3262,640,8,1.6130337772788563,-0.19539000018213973,1,3,3
2020,1,1,8,51,1847,640,8,1.6130337772788563,0.6706367199861232,2,3,2
2020,12,2,14,101,3106,640,8,1.6130337772788563,-0.19539000018213973,1,3,1
2019,11,0,4,22,106,640,8,1.6130337772788563,-0.48406557357156066,1,0,1
2019,10,1,8,51,1443,640,8,1.6130337772788563,0.09328557320728123,1,0,1
2019,12,3,15,109,4575,640,8,1.6130337772788563,-0.19539000018213973,1,3,1
2020,3,4,21,163,8215,640,8,1.6130337772788563,1.247987866764965,2,1,1
2020,4,1,8,48,545,640,8,1.6130337772788563,-0.19539000018213973,1,1,3
2019,7,2,14,101,3014,640,8,1.6130337772788563,-0.19539000018213973,1,2,2
2020,3,1,8,48,371,640,8,1.6130337772788563,1.536663440154386,2,1,1
2019,11,1,8,51,2036,640,8,1.6130337772788563,0.09328557320728123,1,0,1
2020,3,1,8,51,1840,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,1,8,51,654,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,3,16,115,5589,640,8,1.6130337772788563,-0.19539000018213973,1,1,3
2020,3,4,21,163,8513,640,8,1.6130337772788563,-0.19539000018213973,1,1,3
2020,3,1,8,48,545,640,8,1.6130337772788563,-0.48406557357156066,1,1,3
2019,8,1,8,51,1282,640,8,1.6130337772788563,0.09328557320728123,1,2,2
2019,6,1,8,51,743,640,8,1.6130337772788563,-0.48406557357156066,1,2,3
2020,3,4,21,163,8317,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,4,17,125,6000,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,4,21,163,8215,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,1,8,51,1474,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,3,15,109,3979,640,8,1.6130337772788563,0.09328557320728123,1,1,2
2020,2,1,8,48,441,640,8,1.6130337772788563,-0.19539000018213973,1,3,4
2020,3,1,8,51,1674,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,2,2,12,89,2625,640,8,1.6130337772788563,-0.48406557357156066,1,3,2
2020,3,4,21,163,8837,640,8,1.6130337772788563,-0.19539000018213973,1,1,3
2019,4,1,8,51,1552,640,8,1.6130337772788563,-0.19539000018213973,1,1,3
2020,3,3,16,115,5572,640,8,1.6130337772788563,-0.48406557357156066,1,1,2
2020,2,4,21,159,7536,640,8,1.6130337772788563,-0.48406557357156066,1,3,2
2020,1,4,21,163,8402,640,8,1.6130337772788563,-0.19539000018213973,1,3,1
2020,3,4,21,163,8136,640,8,1.6130337772788563,-0.19539000018213973,1,1,1
2020,3,1,8,51,1434,640,8,1.6130337772788563,0.38196114659670216,2,1,1
2019,6,2,14,101,3013,640,8,1.6130337772788563,-0.48406557357156066,1,2,1
2020,3,4,19,145,6677,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,4,20,153,6972,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,3,16,115,5488,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,4,21,163,8221,640,8,1.6130337772788563,-0.19539000018213973,1,1,1
2020,3,1,8,48,333,640,8,1.6130337772788563,0.38196114659670216,2,1,1
2020,3,1,8,48,576,640,8,1.6130337772788563,-0.48406557357156066,1,1,1
2020,3,2,14,101,3285,640,8,1.6130337772788563,2.114014586933228,2,1,2
2020,3,2,11,69,2282,640,8,1.6130337772788563,-0.48406557357156066,1,1,3
2020,1,1,8,51,1972,640,8,1.6130337772788563,-0.48406557357156066,1,3,3
2020,2,3,16,115,5671,640,8,1.6130337772788563,-0.48406557357156066,1,3,1
